,country,count,points
0,Italy,19540.0,88.6
1,Portugal,5691.0,88.3
2,US,54504.0,88.6
3,Spain,6645.0,87.3
4,France,22093.0,88.8
5,Germany,2165.0,89.9
6,Argentina,3800.0,86.7
7,Chile,4472.0,86.5
8,Australia,2329.0,88.6
9,Austria,3345.0,90.1
10,South Africa,1401.0,88.1
11,New Zealand,1419.0,88.3
12,Israel,505.0,88.5
13,Hungary,146.0,89.2
14,Greece,466.0,87.3
15,Romania,120.0,86.4
16,Mexico,70.0,85.3
17,Canada,257.0,89.4
18,Turkey,90.0,88.1
19,Czech Republic,12.0,87.2
20,Slovenia,87.0,88.1
21,Luxembourg,6.0,88.7
22,Croatia,73.0,87.2
23,Georgia,86.0,87.7
24,Uruguay,109.0,86.8
25,England,74.0,91.6
26,Lebanon,35.0,87.7
27,Serbia,12.0,87.5
28,Brazil,52.0,84.7
29,Moldova,59.0,87.2
30,Morocco,28.0,88.6
31,Peru,16.0,83.6
32,India,9.0,90.2
33,Bulgaria,141.0,87.9
34,Cyprus,11.0,87.2
35,Armenia,2.0,87.5
36,Switzerland,7.0,88.6
37,Bosnia and Herzegovina,2.0,86.5
38,Ukraine,14.0,84.1
39,Slovakia,1.0,87.0
40,Macedonia,12.0,86.8
41,China,1.0,89.0
42,Egypt,1.0,84.0
